mysqld, Version: 5.7.41-log (MySQL Community Server (GPL)). started with:
Tcp port: 0  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2023-11-26T14:02:04.238636Z	    2 Connect	root@172.20.0.3 on  using TCP/IP
2023-11-26T14:02:04.239783Z	    2 Query	SET NAMES utf8mb4
2023-11-26T14:02:04.240682Z	    2 Query	SET sql_quote_show_create = 1, autocommit = 1
2023-11-26T14:02:04.244655Z	    2 Init DB	db_sec
2023-11-26T14:02:04.245967Z	    2 Query	SET time_zone = '+00:00'
2023-11-26T14:02:04.246839Z	    2 Query	SET sql_mode = ''
2023-11-26T14:02:04.247829Z	    2 Init DB	db_sec
2023-11-26T14:02:04.248776Z	    2 Query	SHOW CREATE DATABASE `db_sec`
2023-11-26T14:02:04.249981Z	    2 Query	SHOW FUNCTION STATUS WHERE Db = 'db_sec'
2023-11-26T14:02:04.259606Z	    2 Query	SHOW PROCEDURE STATUS WHERE Db = 'db_sec'
2023-11-26T14:02:04.261199Z	    2 Query	SHOW EVENTS
2023-11-26T14:02:04.263936Z	    2 Query	SELECT TABLE_NAME AS Name, ENGINE AS Engine, TABLE_COMMENT AS Comment FROM information_schema.TABLES WHERE TABLE_SCHEMA = DATABASE() ORDER BY Name
2023-11-26T14:02:04.267324Z	    2 Query	SHOW CREATE TABLE `Appointments`
2023-11-26T14:02:04.269996Z	    2 Query	SHOW TRIGGERS LIKE 'Appointments'
2023-11-26T14:02:04.270871Z	    2 Query	SHOW CREATE TABLE `Billing`
2023-11-26T14:02:04.271849Z	    2 Query	SHOW TRIGGERS LIKE 'Billing'
2023-11-26T14:02:04.276170Z	    2 Query	SHOW CREATE TABLE `Orders`
2023-11-26T14:02:04.277318Z	    2 Query	SHOW TRIGGERS LIKE 'Orders'
2023-11-26T14:02:04.279991Z	    2 Query	SHOW CREATE TABLE `Patients`
2023-11-26T14:02:04.280466Z	    2 Query	SHOW TRIGGERS LIKE 'Patients'
